run,deal_seed,hand,player,group,cumulative_bb
two-each-1,2026092411,1700,trained-2,trained,-3604.75
two-each-1,2026092411,1800,loose-aggressive,scripted,15585.0
two-each-1,2026092411,1800,random-1,random,-6601.75
two-each-1,2026092411,1800,random-2,random,-4174.5
two-each-1,2026092411,1800,tight-passive,scripted,2858.75
two-each-1,2026092411,1800,trained-1,trained,-3309.0
two-each-1,2026092411,1800,trained-2,trained,-4358.5
two-each-1,2026092411,1900,loose-aggressive,scripted,16849.0
two-each-1,2026092411,1900,random-1,random,-6976.25
two-each-1,2026092411,1900,random-2,random,-4313.25
two-each-1,2026092411,1900,tight-passive,scripted,3133.75
two-each-1,2026092411,1900,trained-1,trained,-3472.0
two-each-1,2026092411,1900,trained-2,trained,-5221.25
two-each-1,2026092411,2000,loose-aggressive,scripted,18404.5
two-each-1,2026092411,2000,random-1,random,-8653.5
two-each-1,2026092411,2000,random-2,random,-4768.0
two-each-1,2026092411,2000,tight-passive,scripted,3385.75
two-each-1,2026092411,2000,trained-1,trained,-3391.5
two-each-1,2026092411,2000,trained-2,trained,-4977.25
two-each-1,2026092411,2100,loose-aggressive,scripted,19656.5
two-each-1,2026092411,2100,random-1,random,-9314.5
two-each-1,2026092411,2100,random-2,random,-4940.5
two-each-1,2026092411,2100,tight-passive,scripted,3654.25
two-each-1,2026092411,2100,trained-1,trained,-3444.5
two-each-1,2026092411,2100,trained-2,trained,-5611.25
two-each-1,2026092411,2200,loose-aggressive,scripted,22051.5
two-each-1,2026092411,2200,random-1,random,-10592.0
two-each-1,2026092411,2200,random-2,random,-5138.5
two-each-1,2026092411,2200,tight-passive,scripted,3511.25
two-each-1,2026092411,2200,trained-1,trained,-4569.0
two-each-1,2026092411,2200,trained-2,trained,-5263.25
two-each-1,2026092411,2300,loose-aggressive,scripted,24213.75
two-each-1,2026092411,2300,random-1,random,-11605.0
two-each-1,2026092411,2300,random-2,random,-6431.0
two-each-1,2026092411,2300,tight-passive,scripted,3533.5
two-each-1,2026092411,2300,trained-1,trained,-4535.5
two-each-1,2026092411,2300,trained-2,trained,-5175.75
two-each-1,2026092411,2400,loose-aggressive,scripted,25604.75
two-each-1,2026092411,2400,random-1,random,-11476.25
two-each-1,2026092411,2400,random-2,random,-8043.0
two-each-1,2026092411,2400,tight-passive,scripted,4210.5
two-each-1,2026092411,2400,trained-1,trained,-4671.0
two-each-1,2026092411,2400,trained-2,trained,-5625.0
two-each-1,2026092411,2500,loose-aggressive,scripted,26235.75
two-each-1,2026092411,2500,random-1,random,-11502.75
two-each-1,2026092411,2500,random-2,random,-7384.5
two-each-1,2026092411,2500,tight-passive,scripted,4209.0
two-each-1,2026092411,2500,trained-1,trained,-5030.5
two-each-1,2026092411,2500,trained-2,trained,-6527.0
two-each-1,2026092411,2600,loose-aggressive,scripted,27646.75
two-each-1,2026092411,2600,random-1,random,-11807.0
two-each-1,2026092411,2600,random-2,random,-9469.0
two-each-1,2026092411,2600,tight-passive,scripted,4104.0
two-each-1,2026092411,2600,trained-1,trained,-4993.0
two-each-1,2026092411,2600,trained-2,trained,-5481.75
two-each-1,2026092411,2700,loose-aggressive,scripted,27799.75
two-each-1,2026092411,2700,random-1,random,-11662.5
